Resolution,Site,Year_Month,Total_surface_dic_masked,Mean_k_ddic
0.1,12,2006_09,485177184256.7258,2.003844278955012
0.1,4,2006_10,438507039426.4831,0.6689961909516382
0.1,7,2006_10,201790982136.69284,1.2117964940354509
0.1,12,2006_10,455866373236.44556,2.0159626686896615
0.1,4,2006_11,424450865493.40137,0.711004957588922
0.1,7,2006_11,165906852413.484,0.966628822310456
0.1,12,2006_11,408571404249.50745,1.7287979522381716
0.1,4,2006_12,413269870703.97003,0.861173023150969
0.1,7,2006_12,131419422769.11755,0.9096275463262498
0.1,12,2006_12,323102918168.2883,1.4472866060675642
0.1,4,2007_01,395919427476.37177,0.850236515584605
0.1,7,2007_01,104383740997.65161,0.9277278123302244
0.1,12,2007_01,237255280783.23563,1.6602922521378878
0.1,4,2007_02,371202808004.3171,0.8731127235690762
0.1,7,2007_02,91433617063.61125,1.0839497279502428
0.1,12,2007_02,182403506443.34818,1.5021174615645578
0.1,4,2007_03,345377479264.04144,0.8321583973626906
0.1,7,2007_03,86732514183.66754,1.1399772509994928
0.1,12,2007_03,180310216594.88538,2.1081796114275146
0.1,4,2007_04,323078658224.3544,0.6851268562954874
0.1,7,2007_04,88965392662.27496,1.1413794396160901
0.1,12,2007_04,189152754873.52963,1.9166942347842475
0.1,4,2007_05,293941230439.3267,0.7051968301360586
0.1,7,2007_05,97611294844.9327,1.364741977965195
0.1,12,2007_05,206043924503.1303,1.4133487264695932
0.1,4,2007_06,259060994950.34848,0.7246772515199614
0.1,7,2007_06,107799969934.41914,1.5821079214325433
0.1,12,2007_06,219130162357.95834,1.7126617513147135
0.1,4,2007_07,227614674128.7429,0.7291864148106248
0.1,7,2007_07,128128655263.35312,1.8599950494778799
0.1,12,2007_07,231638024984.36615,1.7750905784862323
0.1,4,2007_08,204427615497.26636,0.7317789545508243
0.1,7,2007_08,144222517321.0719,1.8379878931454887
0.1,12,2007_08,233808712726.64124,2.113865558759378
0.1,4,2007_09,190158407073.6186,0.6279356188641054
0.1,7,2007_09,143863014693.99194,1.90103259727074
0.1,12,2007_09,225222254965.98392,2.0848161215002987
0.1,4,2007_10,181972063846.8368,0.7184881064120675
0.1,7,2007_10,124998988810.51915,1.155013959574759
0.1,12,2007_10,217847626728.4841,2.2788472498820806
0.1,4,2007_11,182115087197.59103,0.7706303940895558
0.1,7,2007_11,99653036218.39748,0.9558341533054124
0.1,12,2007_11,203294426838.5373,1.4750370497180245
0.1,4,2007_12,180948484906.2425,0.854001405586405
0.1,7,2007_12,79714090563.66087,0.9536137298831593
0.1,12,2007_12,174650127025.1986,1.6676002961002976
0.25,4,2004_1,7393948065600.206,0.5035300181649222
0.25,7,2004_1,6586176237558.405,1.6251765239467983
0.25,12,2004_1,28412057634331.867,0.7706956280767516
0.25,4,2004_2,9565696138100.455,0.5608584181101253
0.25,7,2004_2,8988718270713.354,1.3778964207115998
0.25,12,2004_2,25521391540452.016,0.8676750727529293
0.25,4,2004_3,7257249555909.35,0.773285190103782
0.25,7,2004_3,5798713095154.979,1.3580036916692084
0.25,12,2004_3,14801512621238.176,1.3169576637229037
0.25,4,2004_4,7183322865316.418,0.6827471950511679
0.25,7,2004_4,4071933875452.4204,0.6884940169666166
0.25,12,2004_4,10005311169004.262,1.1924438400250446
0.25,4,2004_5,7549544007688.895,0.9183580207411949
0.25,7,2004_5,2700643337683.8545,0.9948281072305118
0.25,12,2004_5,6335781240099.965,2.1352921989750384
0.25,4,2004_6,6245192214713.732,0.9753268434454893
0.25,7,2004_6,1880171921987.2761,1.388673202289337
